dat,meses3,meses6,meses9,ano_um,ano_dois,ano_tres,ano_cinco,ano_oito,ano_dez,Média
2025-08-11,14.91,14.86,14.805,14.648,13.655,13.243,13.415,13.68,13.765,14.109000000000002
2025-08-08,14.913,14.86,14.795,14.675,13.715,13.3,13.495,13.75,13.837,14.148888888888889
2025-08-07,14.912,14.86,14.8,14.66,13.71,13.32,13.512,13.79,13.882,14.160666666666666
2025-08-06,14.914,14.865,14.8,14.672,13.735,13.385,13.597,13.86,13.945,14.197
2025-08-05,14.892,14.875,14.815,14.688,13.775,13.41,13.635,13.9,13.985,14.219444444444445
2025-08-04,14.91,14.885,14.805,14.69,13.745,13.38,13.585,13.84,13.935,14.197222222222223
2025-08-01,14.892,14.865,14.815,14.725,13.83,13.455,13.655,13.93,14.015,14.242444444444446
2025-07-31,14.91,14.89,14.855,14.8,13.955,13.605,13.79,14.04,14.113,14.328666666666667
2025-07-30,14.906,14.875,14.825,14.725,13.83,13.475,13.685,13.94,14.042,14.255888888888888
2025-07-29,14.92,14.885,14.81,14.69,13.74,13.405,13.623,13.9,14.0,14.219222222222223
2025-07-28,14.927,14.89,14.835,14.727,13.835,13.53,13.773,14.05,14.132,14.299888888888887
2025-07-25,14.927,14.91,14.84,14.748,13.87,13.555,13.792,14.05,14.142,14.31488888888889
2025-07-24,14.921,14.92,14.855,14.755,13.83,13.505,13.727,14.02,14.105,14.293111111111111
2025-07-23,14.92,14.915,14.86,14.75,13.83,13.495,13.717,13.98,14.063,14.28111111111111
2025-07-22,14.921,14.93,14.855,14.757,13.85,13.5,13.717,13.95,14.01,14.276666666666667
2025-07-21,14.919,14.93,14.885,14.797,13.945,13.635,13.833,14.06,14.12,14.347111111111111
2025-07-18,14.936,14.915,14.895,14.823,14.02,13.685,13.877,14.09,14.15,14.376777777777777
2025-07-17,14.928,14.915,14.88,14.788,13.955,13.6,13.773,13.97,14.055,14.31822222222222
2025-07-16,14.902,14.91,14.895,14.825,14.02,13.67,13.845,14.06,14.123,14.36111111111111
2025-07-15,14.9,14.915,14.885,14.805,13.965,13.61,13.785,13.98,14.05,14.321666666666667
2025-07-14,14.902,14.905,14.875,14.785,13.862,13.465,13.635,13.8,13.907,14.237333333333332
2025-07-11,14.906,14.925,14.88,14.795,13.91,13.5,13.645,13.82,13.865,14.249555555555556
2025-07-10,14.912,14.91,14.89,14.795,13.93,13.525,13.68,13.87,13.925,14.270777777777782
2025-07-09,14.909,14.89,14.82,14.675,13.725,13.33,13.477,13.665,13.76,14.139
2025-07-08,14.908,14.87,14.83,14.69,13.74,13.305,13.448,13.62,13.72,14.125666666666667
2025-07-07,14.904,14.9,14.84,14.708,13.8,13.355,13.453,13.6,13.69,14.13888888888889
2025-06-30,14.965,14.795,14.835,14.785,13.875,13.142,13.255,13.485,13.59,14.080777777777776
2025-06-27,14.972,14.805,14.841,14.805,13.96,13.325,13.485,13.745,13.858,14.199555555555557
2025-06-26,14.959,14.79,14.85,14.8,13.962,13.333,13.49,13.765,13.875,14.202666666666666
2025-06-25,14.958,14.833,14.858,14.85,14.066,13.44,13.59,13.814,13.941,14.261111111111111
2025-06-24,14.951,14.83,14.855,14.85,14.005,13.33,13.472,13.72,13.847,14.206666666666665
2025-06-23,14.948,14.87,14.88,14.875,14.102,13.41,13.525,13.725,13.84,14.241666666666665
